"product_name";"price";"category_name"
Raspberries Family Pack;31.81;Fruits
Pears Classic;33.65;Fruits
Blueberries Family Pack;42.16;Fruits
Bananas Premium;37.46;Fruits
Raspberries Classic;42.85;Fruits
White Grapes;9.35;Fruits
White Grapes Family Pack;16.98;Fruits
Blueberries;32.38;Fruits
Raspberries Family Pack #10;30.47;Fruits
Plums Premium;3.94;Fruits
Kiwi Small Pack;39.05;Fruits
Blueberries Family Pack #13;33.06;Fruits
Plums Premium #14;10.51;Fruits
Bananas Family Pack #15;28.02;Fruits
Plums;43.84;Fruits
Raspberries Premium;34.08;Fruits
Blueberries Small Pack;1.24;Fruits
Bananas Premium #19;37.21;Fruits
Blueberries #20;42.01;Fruits
Red Apples Classic;40.95;Fruits
Bananas Classic;32.49;Fruits
Kiwi;8.18;Fruits
Mandarins Premium;18.22;Fruits
Kiwi Classic;11.74;Fruits
Raspberries Family Pack #26;26.35;Fruits
Bananas Classic #27;37.98;Fruits
Mandarins;6.78;Fruits
Plums Family Pack;5.15;Fruits
Plums Small Pack;38.16;Fruits
White Grapes Classic;11.77;Fruits
Blueberries Premium;20.94;Fruits
Raspberries Classic #33;42.67;Fruits
Kiwi Family Pack;38.19;Fruits
Plums Premium #35;40.84;Fruits
Kiwi Family Pack #36;9.25;Fruits
Red Apples Classic #37;26.16;Fruits
Bananas Family Pack #38;4.04;Fruits
Mandarins #39;26.61;Fruits
Raspberries Premium #40;41.20;Fruits
Plums Family Pack #41;29.92;Fruits
Red Apples Small Pack;27.75;Fruits
Mandarins #43;12.47;Fruits
Pears Family Pack;19.90;Fruits
Raspberries Premium #45;41.07;Fruits
Organic Green Apples;13.75;Fruits
Bananas Family Pack;38.27;Fruits
