"product_name";"category_name";"total_sold";"revenue";"transactions"
Mixed Nuts Small Pack #10;Natural Snacks;12563;226748.76;4035
Sourdough Baguette;Bakery & Wholegrain;12245;401417.95;3975
Toothpaste Natural Family Pack;Personal Care;12179;160322.66;3919
Shampoo Herbal Classic #24;Personal Care;12083;28217.11;4012
Trout Small Pack #13;Fish & Seafood;11844;90274.60;3878
Trash Bags Biodegradable Family Pack;Household Essentials;11745;51403.33;3857
Baby Wet Wipes Family Pack #17;Baby Products;11710;423337.59;3940
Berry Mix Classic;Frozen Foods;11674;486860.60;3896
Berry Mix Small Pack #17;Frozen Foods;11589;114228.95;4025
Salmon Fillet Family Pack #24;Fish & Seafood;11545;182557.04;4028
Sesame Crackers Premium #34;Natural Snacks;11519;478679.61;4066
Chickpeas in Brine Small Pack;Canned & Jarred Goods;11507;99242.39;4009
Tomatoes Classic #24;Vegetables;11473;250822.20;4019
Spinach Leaves Premium;Vegetables;11459;353464.21;3933
Cat Treats Soft Family Pack #6;Pet Food;11430;219503.25;3955
Berry Mix Classic #27;Frozen Foods;11392;318271.96;4136
Beef Mince;Meat & Poultry;11371;164375.43;3956
Trout Family Pack;Fish & Seafood;11324;194454.37;3970
Almond Milk Small Pack;Plant-Based Dairy;11285;475588.36;4036
Beef Mince Family Pack #28;Meat & Poultry;11282;448840.81;4109
Spinach Leaves Small Pack;Vegetables;11278;187247.51;4011
Trash Bags Biodegradable Small Pack;Household Essentials;11270;469402.39;4130
Berry Mix Small Pack #20;Frozen Foods;11228;365788.57;3985
Trail Mix Small Pack;Natural Snacks;11221;471713.42;4050
Ginger Shot Premium #20;Healthy Drinks;11214;608963.63;3992
