"full_date";"shop_sk";"revenue";"expected_revenue";"uplift_percent";"anomaly_status"
2023-12-31;46;6606.35;7031.16;-6.04;Normal
2023-12-31;62;11779.05;10665.26;10.44;Normal
2023-12-31;40;13552.79;13167.11;2.93;Normal
2023-12-31;45;10248.19;9230.96;11.02;Normal
2023-12-31;52;13717.88;13180.24;4.08;Normal
2023-12-31;54;8417.63;9858.63;-14.62;Normal
2023-12-31;39;10228.57;10447.89;-2.10;Normal
2023-12-31;25;14305.43;11562.05;23.73;High
2023-12-31;27;11857.19;11738.93;1.01;Normal
2023-12-31;42;10833.66;10108.49;7.17;Normal
2023-12-31;30;14935.74;12246.29;21.96;High
2023-12-31;50;7653.19;6145.03;24.54;High
2023-12-31;26;10348.40;9073.21;14.05;Normal
2023-12-31;31;10401.61;11076.36;-6.09;Normal
2023-12-31;1;7890.08;8790.34;-10.24;Normal
2023-12-31;34;10737.35;11559.27;-7.11;Normal
2023-12-31;4;8831.61;8488.36;4.04;Normal
2023-12-31;22;11487.47;11903.71;-3.50;Normal
2023-12-31;7;6859.88;8002.13;-14.27;Normal
2023-12-31;64;9936.33;8901.24;11.63;Normal
