"category";"year_num";"month_name";"total_quantity";"total_revenue";"order_count"
Baby Products;2023;December;11512;293819.88;4546
Baby Products;2023;November;10836;272776.40;4325
Baby Products;2023;October;10197;238850.21;4023
Baby Products;2023;September;10372;241373.90;3980
Baby Products;2023;August;10631;268244.90;4024
Baby Products;2023;July;10587;266018.07;4220
Baby Products;2023;June;10790;267794.65;4283
Baby Products;2023;May;10395;249716.06;4126
Baby Products;2023;April;10730;241316.17;3993
Baby Products;2023;March;10364;240755.99;4093
Baby Products;2023;February;10069;238512.65;4009
Baby Products;2023;January;10093;240467.64;3996
Baby Products;2022;December;11311;295224.97;4476
Baby Products;2022;November;10511;283700.82;4165
Baby Products;2022;October;11694;270457.77;4046
Baby Products;2022;September;10277;244625.31;4074
Baby Products;2022;August;10424;243830.78;3977
Baby Products;2022;July;11322;273581.57;4285
Baby Products;2022;June;11385;284872.26;4250
Baby Products;2022;May;10687;252991.00;4055
