"country_name";"shop_id";"shop_address";"total_sales_count";"total_sales_amount";"country_total_sales";"country_sales_share";"shop_rank";"country_running_total"
France;45;SHOP0045 Roberson Passage;23149;2366266.40;15309752.12;15.46;1;2366266.40
France;49;SHOP0049 Victor Hill;23138;1521537.81;15309752.12;9.94;2;3887804.21
France;41;SHOP0041 Thomas Streets;19977;1371176.24;15309752.12;8.96;3;5258980.45
France;46;SHOP0046 Eric Villages;19800;1288316.05;15309752.12;8.42;4;6547296.50
France;43;SHOP0043 Samuel Hills;16442;1216516.29;15309752.12;7.95;5;7763812.79
France;36;SHOP0036 Joseph Walk;12918;1146263.09;15309752.12;7.49;6;8910075.88
France;39;SHOP0039 Jones Manors;9927;942078.74;15309752.12;6.15;7;9852154.62
France;42;SHOP0042 Michele Plains;10187;885157.22;15309752.12;5.78;8;10737311.84
France;38;SHOP0038 Thomas Crest;16274;861643.38;15309752.12;5.63;9;11598955.22
France;34;SHOP0034 Pamela Stream;9715;652538.56;15309752.12;4.26;10;12251493.78
France;44;SHOP0044 Matthew Shore;9684;650740.29;15309752.12;4.25;11;12902234.07
France;35;SHOP0035 William Roads;9676;624019.49;15309752.12;4.08;12;13526253.56
France;40;SHOP0040 Hernandez Trace;6753;447346.62;15309752.12;2.92;13;13973600.18
France;37;SHOP0037 Tyler Union;9913;418660.65;15309752.12;2.73;14;14392260.83
France;48;SHOP0048 Myers Springs;6660;350420.56;15309752.12;2.29;15;14742681.39
France;47;SHOP0047 Dunn Squares;16397;343859.60;15309752.12;2.25;16;15086540.99
France;50;SHOP0050 Jordan Spurs;6645;223211.13;15309752.12;1.46;17;15309752.12
Germany;12;SHOP0012 Horn Points;26361;3693110.37;37021633.63;9.98;1;3693110.37
Germany;23;SHOP0023 Rush Manors;32767;3106421.51;37021633.63;8.39;2;6799531.88
Germany;26;SHOP0026 Murray Path;23239;2276017.74;37021633.63;6.15;3;9075549.62
Germany;27;SHOP0027 Karen Falls;23222;1978155.75;37021633.63;5.34;4;11053705.37
Germany;22;SHOP0022 Baker Via;19779;1789040.71;37021633.63;4.83;5;12842746.08
